Order ID,Purchase Date,Product Name,Category,Product Price,Unit Sold,Total Sale,Payment Method
ORD89245,2021-04-11,Google Pixel 7,Mobile,85570.6,1,427853,Credit Card
ORD04938,2021-04-11,Asus ROG Phone 6,Mobile,50803.8,3,152411.4,Cash
ORD18679,2021-04-11,MacBook Air M2,Laptop,175521.52,4,702086.08,Cash
ORD09375,2021-04-11,Nokia X20,Mobile,54615.06,3,163845.18,UPI
ORD03278,2021-04-11,Microsoft Surface Laptop 4,Laptop,198372.99,2,396745.98,Net Banking
ORD75905,2021-04-11,Nokia X20,Mobile,71180.14,2,142360.28,EMI
ORD28186,2021-04-11,iPhone 14,Mobile,18694.08,2,37388.16,EMI
ORD68634,2021-04-12,JBL Bluetooth Speaker,Accessories,7728.12,1,38640.6,Cash
ORD19120,2021-04-12,Asus ZenBook 14,Laptop,163204.09,1,163204.09,UPI
ORD13567,2021-04-12,Vivo X80,Mobile,26999.21,4,107996.84,UPI
ORD98884,2021-04-12,Realme GT Neo 3,Mobile,58549.88,4,234199.52,EMI
ORD32429,2021-04-12,Xiaomi 12 Pro,Mobile,64607.5,4,258430,Net Banking
ORD93254,2021-04-12,Asus ROG Phone 6,Mobile,56764.33,3,170292.99,Net Banking
ORD01836,2021-04-12,Asus ROG Phone 6,Mobile,89408.34,3,268225.02,Cash
ORD98571,2021-04-12,iPhone 14,Mobile,40084.64,3,120253.92,Net Banking
ORD01161,2021-04-12,HP Wired Keyboard,Accessories,784.97,3,2354.91,Cash
ORD43342,2021-04-13,MSI Modern 14,Laptop,199115.63,1,995578.15,Cash
ORD88826,2021-04-13,Google Pixel 7,Mobile,27893.61,3,83680.83,Net Banking
ORD31276,2021-04-13,Xiaomi 12 Pro,Mobile,54559.68,1,54559.68,Net Banking
ORD70011,2021-04-13,Xiaomi 12 Pro,Mobile,74890.31,1,374451.55,EMI
ORD21921,2021-04-13,Microsoft Surface Laptop 4,Laptop,123909.33,1,123909.33,Cash
ORD99277,2021-04-14,Nokia X20,Mobile,60330.42,1,301652.1,Net Banking
ORD68042,2021-04-14,Xiaomi 12 Pro,Mobile,41862.11,2,83724.22,Cash
ORD45874,2021-04-14,HP Pavilion x360,Laptop,77642.99,4,310571.96,UPI
ORD08386,2021-04-14,Vivo X80,Mobile,78786.99,3,236360.97,EMI
ORD31744,2021-04-14,Realme GT Neo 3,Mobile,82489.21,3,247467.63,EMI
ORD22319,2021-04-14,HP Pavilion x360,Laptop,192291.53,1,961457.65,Cash
ORD50890,2021-04-14,Realme GT Neo 3,Mobile,75598.46,2,151196.92,Net Banking
ORD59809,2021-04-15,Asus ROG Phone 6,Mobile,28846.3,2,57692.6,Cash
ORD84560,2021-04-15,Asus ROG Phone 6,Mobile,61820.6,4,247282.4,Credit Card
ORD75952,2021-04-15,Asus ROG Phone 6,Mobile,59797.09,1,298985.45,EMI
ORD81912,2021-04-15,Logitech Mouse,Accessories,4956.64,4,19826.56,UPI
ORD62613,2021-04-15,Microsoft Surface Laptop 4,Laptop,157628.3,4,630513.2,Net Banking
ORD63990,2021-04-16,Xiaomi 12 Pro,Mobile,78379.02,1,391895.1,Net Banking
ORD65559,2021-04-16,Xiaomi 12 Pro,Mobile,32924.43,2,65848.86,Cash
ORD73061,2021-04-16,Xiaomi 12 Pro,Mobile,21153.24,3,63459.72,Net Banking
ORD49362,2021-04-16,MacBook Air M2,Laptop,129438.58,1,647192.9,Net Banking
ORD88241,2021-04-16,iPhone 14,Mobile,88752.56,4,355010.24,Net Banking
ORD92506,2021-04-16,Nokia X20,Mobile,30722.26,1,30722.26,Cash
ORD19936,2021-04-16,Realme GT Neo 3,Mobile,56796.55,3,170389.65,Net Banking
ORD89012,2021-04-16,Realme GT Neo 3,Mobile,44185.94,3,132557.82,EMI
ORD72324,2021-04-17,Samsung Galaxy S22,Mobile,72888.04,1,364440.2,Cash
ORD14450,2021-04-17,Vivo X80,Mobile,70467.13,1,352335.65,Net Banking
ORD27112,2021-04-17,iPhone 14,Mobile,13199.23,1,65996.15,Net Banking
ORD07198,2021-04-17,Dell Inspiron 15,Laptop,61115.32,2,122230.64,EMI
ORD32984,2021-04-17,Asus ZenBook 14,Laptop,172875.65,1,864378.25,UPI
ORD86262,2021-04-18,Asus ROG Phone 6,Mobile,16117.72,2,32235.44,UPI
ORD85850,2021-04-18,Asus ROG Phone 6,Mobile,35247.38,4,140989.52,EMI
ORD07613,2021-04-18,Realme GT Neo 3,Mobile,50061.07,4,200244.28,EMI
ORD09196,2021-04-18,Realme GT Neo 3,Mobile,27919.19,1,139595.95,Net Banking
ORD91606,2021-04-18,Xiaomi 12 Pro,Mobile,46076.14,1,230380.7,Cash
ORD21348,2021-04-18,JBL Bluetooth Speaker,Accessories,7573.42,2,15146.84,Net Banking
ORD14521,2021-04-18,Samsung Galaxy S22,Mobile,29001.38,4,116005.52,EMI
ORD82622,2021-04-18,Samsung Galaxy S22,Mobile,61946.92,4,247787.68,Cash
ORD39555,2021-04-18,Samsung Galaxy S22,Mobile,29747.87,1,29747.87,EMI
ORD01900,2021-04-19,Motorola Edge 30,Mobile,61802.06,1,309010.3,Cash
ORD17159,2021-04-19,Vivo X80,Mobile,58002.55,1,58002.55,Cash
ORD95433,2021-04-19,Xiaomi 12 Pro,Mobile,37433.54,1,187167.7,Net Banking
ORD00276,2021-04-19,Vivo X80,Mobile,40251.31,4,161005.24,Cash
ORD85324,2021-04-19,Google Pixel 7,Mobile,51918.07,2,103836.14,Cash
ORD67025,2021-04-19,iPhone 14,Mobile,47959.56,1,47959.56,Net Banking
ORD52895,2021-04-19,Google Pixel 7,Mobile,55589.74,1,277948.7,UPI
ORD25025,2021-04-19,Google Pixel 7,Mobile,16608.59,3,49825.77,Net Banking
ORD47769,2021-04-20,Asus ROG Phone 6,Mobile,13670.95,1,68354.75,Net Banking
ORD03701,2021-04-20,Asus ROG Phone 6,Mobile,84172.85,2,168345.7,EMI
ORD65571,2021-04-20,Samsung Galaxy S22,Mobile,71038.56,1,71038.56,EMI
ORD02683,2021-04-20,Realme GT Neo 3,Mobile,39002.09,2,78004.18,Net Banking
ORD34800,2021-04-20,MSI Modern 14,Laptop,114437.71,1,114437.71,UPI
ORD30807,2021-04-20,Lenovo ThinkPad X1,Laptop,195646.08,1,978230.4,Cash
ORD92525,2021-04-20,Google Pixel 7,Mobile,71371.53,4,285486.12,EMI
ORD99967,2021-04-20,Motorola Edge 30,Mobile,27184.7,3,81554.1,Cash
ORD31278,2021-04-20,Vivo X80,Mobile,24441.06,3,73323.18,EMI
ORD70138,2021-04-20,OnePlus 11,Mobile,59140.45,1,295702.25,UPI
ORD24105,2021-04-20,MacBook Air M2,Laptop,79893.27,1,79893.27,Cash
ORD12085,2021-04-20,Realme GT Neo 3,Mobile,86286.39,1,86286.39,Cash
ORD34305,2021-04-20,MacBook Air M2,Laptop,95846.89,4,383387.56,Cash
ORD62630,2021-04-20,LG Gram 16,Laptop,137535.01,1,687675.05,Cash
ORD47568,2021-04-21,LG Gram 16,Laptop,32404.62,3,97213.86,EMI
ORD88233,2021-04-21,Motorola Edge 30,Mobile,19879.08,3,59637.24,Credit Card
ORD19096,2021-04-21,Motorola Edge 30,Mobile,62848.6,2,125697.2,Cash
ORD25746,2021-04-21,Mi Power Bank 10000mAh,Accessories,5623.85,4,22495.4,Net Banking
ORD31658,2021-04-21,MacBook Air M2,Laptop,106822.79,3,320468.37,Net Banking
ORD56398,2021-04-21,Samsung 1TB SSD,Accessories,2470.58,2,4941.16,Cash
ORD71488,2021-04-21,Samsung 1TB SSD,Accessories,3214.03,3,9642.09,UPI
ORD56083,2021-04-21,Xiaomi 12 Pro,Mobile,66337.38,4,265349.52,UPI
ORD49271,2021-04-21,Samsung Galaxy S22,Mobile,60128.45,3,180385.35,Cash
ORD81667,2021-04-22,iPhone 14,Mobile,81342.16,4,325368.64,Cash
ORD54791,2021-04-22,Google Pixel 7,Mobile,42370.15,3,127110.45,UPI
ORD24595,2021-04-22,Logitech Mouse,Accessories,1771.7,2,3543.4,Cash
ORD20752,2021-04-22,JBL Bluetooth Speaker,Accessories,5637.12,1,5637.12,Net Banking
ORD82994,2021-04-22,OnePlus 11,Mobile,69332.33,4,277329.32,Net Banking
ORD06349,2021-04-22,Asus ROG Phone 6,Mobile,42737.64,2,85475.28,UPI
ORD71876,2021-04-23,Samsung 1TB SSD,Accessories,2752.1,3,8256.3,Credit Card
ORD15575,2021-04-23,Xiaomi 12 Pro,Mobile,37964.67,1,37964.67,UPI
ORD74103,2021-04-23,JBL Bluetooth Speaker,Accessories,2132.97,2,4265.94,EMI
ORD11443,2021-04-23,Motorola Edge 30,Mobile,83134.43,3,249403.29,UPI
ORD46926,2021-04-23,HP Pavilion x360,Laptop,162378.96,1,811894.8,Cash
ORD32662,2021-04-23,Asus ROG Phone 6,Mobile,41578.82,4,166315.28,Net Banking
ORD70505,2021-04-24,HP Pavilion x360,Laptop,126899.82,1,634499.1,UPI
ORD61024,2021-04-24,TP-Link Router,Accessories,7213.09,1,36065.45,Net Banking
ORD93497,2021-04-24,iPhone 14,Mobile,40975.65,3,122926.95,EMI
ORD61194,2021-04-24,Xiaomi 12 Pro,Mobile,63123.04,1,63123.04,Cash
ORD33890,2021-04-24,Asus ROG Phone 6,Mobile,9033.82,4,36135.28,Cash
ORD79484,2021-04-24,JBL Bluetooth Speaker,Accessories,2081.41,1,10407.05,Cash
ORD23291,2021-04-24,iPhone 14,Mobile,45470.81,1,227354.05,EMI
ORD84526,2021-04-25,Google Pixel 7,Mobile,43946.55,2,87893.1,UPI
ORD75862,2021-04-25,Asus ROG Phone 6,Mobile,33476.26,1,33476.26,EMI
ORD76422,2021-04-25,Samsung Galaxy S22,Mobile,22879.7,1,114398.5,UPI
ORD26865,2021-04-25,Vivo X80,Mobile,79578.38,4,318313.52,Net Banking
ORD33815,2021-04-25,Acer Aspire 5,Laptop,87142.14,1,87142.14,EMI
ORD86370,2021-04-25,Realme GT Neo 3,Mobile,61209.85,1,306049.25,EMI
ORD86024,2021-04-25,Asus ROG Phone 6,Mobile,86311.23,1,431556.15,Cash
ORD53673,2021-04-25,Realme GT Neo 3,Mobile,73859.56,1,73859.56,UPI
ORD01325,2021-04-26,Motorola Edge 30,Mobile,14034.91,1,70174.55,Credit Card
ORD29676,2021-04-26,Acer Aspire 5,Laptop,97277.13,4,389108.52,Cash
ORD47479,2021-04-26,Asus ZenBook 14,Laptop,105750.84,2,211501.68,Net Banking
ORD86555,2021-04-26,Nokia X20,Mobile,11991.45,3,35974.35,EMI
ORD58765,2021-04-26,Asus ROG Phone 6,Mobile,14700.64,4,58802.56,Cash
ORD81493,2021-04-26,LG Gram 16,Laptop,165107.94,2,330215.88,EMI
ORD12440,2021-04-26,iPhone 14,Mobile,65482.75,2,130965.5,EMI
ORD38392,2021-04-26,Samsung 1TB SSD,Accessories,4901.19,3,14703.57,Cash
ORD85472,2021-04-26,Asus ROG Phone 6,Mobile,53418.78,3,160256.34,Cash
ORD62482,2021-04-27,Dell Inspiron 15,Laptop,91270.74,2,182541.48,Credit Card
ORD26355,2021-04-27,iPhone 14,Mobile,63260.33,4,253041.32,Net Banking
ORD89409,2021-04-27,Nokia X20,Mobile,12762.38,3,38287.14,EMI
ORD71708,2021-04-28,HP Pavilion x360,Laptop,115402.97,3,346208.91,Cash
ORD13177,2021-04-28,iPhone 14,Mobile,43417.97,1,43417.97,Net Banking
ORD16544,2021-04-28,Samsung Galaxy S22,Mobile,40622.66,4,162490.64,EMI
ORD54588,2021-04-29,Dell Inspiron 15,Laptop,188081.94,4,752327.76,Cash
ORD05824,2021-04-29,iPhone 14,Mobile,25093.49,4,100373.96,Credit Card
ORD76335,2021-04-29,Xiaomi 12 Pro,Mobile,79480.78,2,158961.56,Cash
ORD77544,2021-04-29,OnePlus 11,Mobile,13014.13,3,39042.39,EMI
ORD61733,2021-04-29,Razer Blade 15,Laptop,194389.06,3,583167.18,UPI
ORD72713,2021-04-29,iPhone 14,Mobile,12930.14,4,51720.56,Cash
ORD47815,2021-04-29,TP-Link Router,Accessories,1830.39,1,9151.95,EMI
ORD39007,2021-04-30,Motorola Edge 30,Mobile,50771.52,4,203086.08,EMI
ORD78365,2021-04-30,Logitech Mouse,Accessories,6535.7,1,6535.7,EMI
ORD19124,2021-04-30,Motorola Edge 30,Mobile,82640.29,3,247920.87,Net Banking
ORD85351,2021-04-30,Xiaomi 12 Pro,Mobile,52526.18,1,262630.9,Net Banking
ORD18613,2021-04-30,Motorola Edge 30,Mobile,60824.69,4,243298.76,Cash
ORD71626,2021-04-30,Motorola Edge 30,Mobile,24842.2,4,99368.8,Net Banking
ORD32792,2021-05-01,TP-Link Router,Accessories,1994,1,9970,UPI
ORD51968,2021-05-01,Google Pixel 7,Mobile,31793.24,4,127172.96,EMI
ORD15379,2021-05-02,Google Pixel 7,Mobile,61556.35,1,307781.75,EMI
ORD07110,2021-05-02,OnePlus 11,Mobile,29679.15,3,89037.45,Net Banking
ORD41439,2021-05-02,Google Pixel 7,Mobile,62915.48,2,125830.96,Net Banking
ORD99888,2021-05-02,Razer Blade 15,Laptop,189015.16,1,189015.16,UPI
ORD82595,2021-05-03,Vivo X80,Mobile,77129.83,1,385649.15,Cash
ORD77805,2021-05-03,Samsung Galaxy S22,Mobile,76527.43,3,229582.29,Net Banking
ORD30094,2021-05-03,Google Pixel 7,Mobile,14657.28,1,73286.4,Cash
ORD38596,2021-05-04,Xiaomi 12 Pro,Mobile,53089.35,1,265446.75,EMI
ORD73385,2021-05-04,Google Pixel 7,Mobile,43155.55,1,215777.75,UPI
ORD50800,2021-05-04,Vivo X80,Mobile,10827.27,1,10827.27,EMI
ORD05190,2021-05-04,Microsoft Surface Laptop 4,Laptop,121872.89,1,609364.45,Cash
ORD67116,2021-05-04,Samsung Galaxy S22,Mobile,42756.33,1,213781.65,Credit Card
ORD53964,2021-05-04,Nokia X20,Mobile,87900.94,1,439504.7,Net Banking
ORD23895,2021-05-04,Nokia X20,Mobile,88121.22,3,264363.66,Cash
ORD00619,2021-05-04,MSI Modern 14,Laptop,123981.07,4,495924.28,Net Banking
ORD01757,2021-05-04,MSI Modern 14,Laptop,42096.29,2,84192.58,Credit Card
ORD70732,2021-05-04,OnePlus 11,Mobile,75129.51,4,300518.04,EMI
ORD72448,2021-05-05,Vivo X80,Mobile,58709.95,2,117419.9,Cash
ORD57065,2021-05-05,Samsung 1TB SSD,Accessories,6154.49,4,24617.96,EMI
ORD33709,2021-05-05,OnePlus 11,Mobile,58152,4,232608,Net Banking
ORD99612,2021-05-05,Asus ROG Phone 6,Mobile,73723.53,4,294894.12,EMI
ORD06517,2021-05-05,Samsung Galaxy S22,Mobile,58276.21,1,291381.05,EMI
ORD97652,2021-05-05,Realme GT Neo 3,Mobile,80069.91,3,240209.73,UPI
ORD12378,2021-05-06,Mi Power Bank 10000mAh,Accessories,3515.79,1,17578.95,UPI
ORD12800,2021-05-06,Motorola Edge 30,Mobile,85363.15,2,170726.3,Net Banking
ORD83992,2021-05-06,Nokia X20,Mobile,87241.3,2,174482.6,Net Banking
ORD55369,2021-05-06,OnePlus 11,Mobile,33380.46,3,100141.38,Cash
ORD33492,2021-05-06,Realme GT Neo 3,Mobile,89673.23,4,358692.92,Cash
ORD74904,2021-05-06,Asus ROG Phone 6,Mobile,27086.81,1,27086.81,Net Banking
ORD69089,2021-05-06,Acer Aspire 5,Laptop,176669.87,1,176669.87,Cash
ORD62325,2021-05-07,Razer Blade 15,Laptop,126686.96,3,380060.88,Credit Card
ORD64561,2021-05-07,Xiaomi 12 Pro,Mobile,21930.6,1,109653,Credit Card
ORD48341,2021-05-07,Vivo X80,Mobile,74820.9,4,299283.6,Net Banking
ORD00722,2021-05-07,Sandisk 64GB Pendrive,Accessories,6822.51,1,6822.51,EMI
ORD84861,2021-05-08,HP Pavilion x360,Laptop,49485.94,1,49485.94,UPI
ORD93168,2021-05-08,Logitech Mouse,Accessories,7528.59,2,15057.18,Net Banking
ORD13020,2021-05-08,Asus ZenBook 14,Laptop,106462.44,1,106462.44,UPI
ORD05584,2021-05-08,OnePlus 11,Mobile,21240.26,1,106201.3,Net Banking
ORD81097,2021-05-08,Realme GT Neo 3,Mobile,78507.3,4,314029.2,EMI
ORD18550,2021-05-08,Samsung 1TB SSD,Accessories,5034.2,1,5034.2,UPI
ORD53549,2021-05-08,Samsung Galaxy S22,Mobile,65000.31,1,325001.55,Credit Card
ORD29486,2021-05-09,iPhone 14,Mobile,45647.61,1,228238.05,Net Banking
ORD76286,2021-05-10,MacBook Air M2,Laptop,97757.35,4,391029.4,Cash
ORD32803,2021-05-10,LG Gram 16,Laptop,72780,4,291120,Credit Card
ORD76048,2021-05-10,Google Pixel 7,Mobile,21170.22,3,63510.66,Credit Card
ORD54165,2021-05-10,Zebronics Webcam,Accessories,3972.57,4,15890.28,Net Banking
ORD04742,2021-05-10,Google Pixel 7,Mobile,20404.32,4,81617.28,Net Banking
ORD13999,2021-05-10,Razer Blade 15,Laptop,33202.03,4,132808.12,Cash
ORD42122,2021-05-10,Razer Blade 15,Laptop,55118.69,4,220474.76,Net Banking
ORD66083,2021-05-10,OnePlus 11,Mobile,80787.44,4,323149.76,UPI
ORD02019,2021-05-11,Google Pixel 7,Mobile,18497.03,1,18497.03,Net Banking
ORD80609,2021-05-11,Xiaomi 12 Pro,Mobile,80409.28,2,160818.56,UPI
ORD45333,2021-05-11,Nokia X20,Mobile,39742.52,3,119227.56,Cash
ORD46091,2021-05-11,Google Pixel 7,Mobile,89075.62,1,89075.62,Net Banking
ORD55305,2021-05-11,Nokia X20,Mobile,21004.41,4,84017.64,Cash
ORD72544,2021-05-11,Realme GT Neo 3,Mobile,17119.61,4,68478.44,Cash
ORD80687,2021-05-11,Nokia X20,Mobile,13196,1,13196,Cash
ORD47665,2021-05-12,TP-Link Router,Accessories,4220.37,3,12661.11,EMI
ORD32788,2021-05-12,MSI Modern 14,Laptop,60211.51,1,301057.55,EMI
ORD21708,2021-05-12,Motorola Edge 30,Mobile,86838.56,2,173677.12,Cash
ORD93765,2021-05-12,Nokia X20,Mobile,15777.1,1,78885.5,Cash
ORD38322,2021-05-12,Acer Aspire 5,Laptop,110591.67,1,552958.35,UPI
ORD38413,2021-05-12,Dell Inspiron 15,Laptop,97123.6,1,485618,Cash
ORD39109,2021-05-12,HP Wired Keyboard,Accessories,1283.3,1,6416.5,UPI
ORD21098,2021-05-12,iPhone 14,Mobile,70720.65,3,212161.95,UPI
ORD84567,2021-05-12,iPhone 14,Mobile,64738.67,4,258954.68,Net Banking
ORD02505,2021-05-12,Acer Aspire 5,Laptop,72388.99,1,361944.95,Cash
ORD37357,2021-05-13,Sony Headphones,Accessories,6319.38,4,25277.52,Net Banking
ORD30281,2021-05-13,Vivo X80,Mobile,32853.16,4,131412.64,Credit Card
ORD65521,2021-05-13,Mi Power Bank 10000mAh,Accessories,3292.08,1,16460.4,EMI
ORD79643,2021-05-13,Realme GT Neo 3,Mobile,60551.02,3,181653.06,Cash
ORD48146,2021-05-13,Samsung Galaxy S22,Mobile,59095.75,1,295478.75,Cash
ORD88834,2021-05-13,OnePlus 11,Mobile,17205.83,1,17205.83,Cash
ORD83560,2021-05-13,OnePlus 11,Mobile,79009.76,1,79009.76,UPI
ORD34739,2021-05-14,OnePlus 11,Mobile,9038.22,3,27114.66,UPI
ORD11278,2021-05-14,HP Pavilion x360,Laptop,101754.08,4,407016.32,EMI
ORD41122,2021-05-14,Nokia X20,Mobile,57177.19,3,171531.57,Net Banking
ORD15134,2021-05-15,Google Pixel 7,Mobile,28136.18,2,56272.36,Cash
ORD05856,2021-05-15,HP Pavilion x360,Laptop,101866.16,3,305598.48,Cash
ORD68297,2021-05-15,HP Wired Keyboard,Accessories,3421.68,2,6843.36,Credit Card
ORD59076,2021-05-15,Motorola Edge 30,Mobile,62265.66,1,311328.3,UPI
ORD29884,2021-05-15,Samsung Galaxy S22,Mobile,13996,1,13996,Net Banking
ORD58675,2021-05-15,iPhone 14,Mobile,42161.04,3,126483.12,Credit Card
ORD37413,2021-05-16,Google Pixel 7,Mobile,53946.07,4,215784.28,EMI
ORD35276,2021-05-16,OnePlus 11,Mobile,16181.33,1,80906.65,Net Banking
ORD33151,2021-05-16,Google Pixel 7,Mobile,8155.67,4,32622.68,Net Banking
ORD44338,2021-05-16,Dell Inspiron 15,Laptop,34795.55,3,104386.65,Net Banking
ORD35482,2021-05-16,Google Pixel 7,Mobile,46028.54,3,138085.62,EMI
ORD87142,2021-05-16,Sony Headphones,Accessories,3275.48,2,6550.96,UPI
ORD32171,2021-05-17,boAt BassHeads 100,Accessories,7871.81,4,31487.24,Credit Card
ORD87746,2021-05-17,Sony Headphones,Accessories,3121.96,1,3121.96,Net Banking
ORD42452,2021-05-17,OnePlus 11,Mobile,80862.15,4,323448.6,Cash
ORD70728,2021-05-17,Nokia X20,Mobile,79131.19,4,316524.76,Cash
